City_ID,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Vardø,70.37,31.11,40.23,78,100,15.39,NO,1593470676
1,Iqaluit,63.75,-68.51,37.4,86,75,16.11,CA,1593470676
2,Västerås,59.62,16.55,62.01,72,100,2.77,SE,1593470676
3,Ushuaia,-54.8,-68.3,35.6,64,75,9.17,AR,1593470676
4,Upernavik,72.79,-56.15,39.76,74,93,7.87,GL,1593470677
5,Ponta Delgada,37.73,-25.67,69.8,88,75,9.17,PT,1593470677
6,Rikitea,-23.12,-134.97,68.27,60,38,14.12,PF,1593470677
7,Puerto Carreño,6.19,-67.49,80.2,80,77,5.03,CO,1593470677
8,Nyimba,-14.56,30.81,70.34,47,64,9.46,ZM,1593470677
9,Boa Vista,2.82,-60.67,82.4,69,40,3.36,BR,1593470677
10,George Town,5.41,100.34,78.8,94,20,2.24,MY,1593470380
11,São Filipe,14.9,-24.5,76.6,69,2,10.09,CV,1593470677
12,Grindavik,63.84,-22.43,51.8,93,75,11.41,IS,1593470677
13,Bluff,-46.6,168.33,48.85,86,100,16.71,NZ,1593470677
14,Touros,-5.2,-35.46,77.0,83,75,3.36,BR,1593470678
15,Faanui,-16.48,-151.75,77.94,76,81,25.99,PF,1593470678
16,Praia da Vitória,38.73,-27.07,69.8,88,75,10.78,PT,1593470485
17,Kruisfontein,-34.0,24.73,52.83,90,3,9.55,ZA,1593470678
18,Chui,-33.7,-53.46,53.71,80,100,10.13,UY,1593470678
19,Khatanga,71.97,102.5,78.85,48,29,6.24,RU,1593470678
20,Hobart,-42.88,147.33,43.0,87,20,9.17,AU,1593470598
21,Kapaa,22.08,-159.32,84.2,70,75,12.75,US,1593470678
22,Avarua,-21.21,-159.78,77.0,65,24,21.92,CK,1593470678
23,Manono,-7.3,27.42,73.36,42,19,3.78,CD,1593470679
24,Butaritari,3.07,172.79,83.08,64,99,5.55,KI,1593470679
25,Bethel,41.37,-73.41,73.4,73,75,9.17,US,1593470679
26,Ostrovnoy,68.05,39.51,42.53,84,74,9.19,RU,1593470679
27,Oranjemund,-28.55,16.43,58.05,57,0,7.43,NA,1593470679
28,Punta Arenas,-53.15,-70.92,28.4,92,40,4.7,CL,1593470428
29,Weligama,5.97,80.42,80.28,87,100,11.43,LK,1593470679
30,Malakal,9.53,31.66,80.06,65,97,4.14,SS,1593470679
31,Huejuquilla el Alto,22.6,-103.87,77.41,46,73,6.49,MX,1593470679
32,Bambous Virieux,-20.34,57.76,69.01,94,75,8.99,MU,1593470679
33,Tasiilaq,65.61,-37.64,50.0,57,100,16.11,GL,1593470680
34,Victor Harbor,-35.57,138.62,50.0,66,58,3.0,AU,1593470680
35,Cape Town,-33.93,18.42,59.0,100,12,2.24,ZA,1593470680
36,Saskylakh,71.92,114.08,83.46,34,50,9.55,RU,1593470680
37,Kavieng,-2.57,150.8,84.22,72,44,9.42,PG,1593470680
38,Henties Bay,-22.12,14.28,55.99,86,0,1.99,NA,1593470680
39,Katsuura,35.13,140.3,77.0,78,75,8.05,JP,1593470680
40,Les Escoumins,48.11,-69.02,61.92,92,98,4.97,CA,1593470680
41,Imeni Poliny Osipenko,52.42,136.49,61.05,66,12,3.13,RU,1593470680
42,Pangoa,-12.12,-73.0,71.56,82,41,1.66,PE,1593470680
43,Busselton,-33.65,115.33,57.99,73,27,18.95,AU,1593470681
44,Eyl,7.98,49.82,80.89,69,83,22.75,SO,1593470681
45,Albany,42.6,-73.97,73.0,83,70,5.95,US,1593470577
46,Puerto Ayora,-0.74,-90.35,73.99,81,62,5.99,EC,1593470681
47,Thompson,55.74,-97.86,55.4,87,90,13.87,CA,1593470402
48,Hilo,19.73,-155.09,80.6,69,90,10.98,US,1593470418
49,Ballina,-28.87,153.57,55.4,93,26,6.93,AU,1593470681
50,Saint Paul Harbor,57.79,-152.41,62.6,59,1,6.93,US,1593470681
51,Ust'-Koksa,50.27,85.61,51.08,65,100,1.25,RU,1593470681
52,Hithadhoo,-0.6,73.08,84.18,66,36,2.68,MV,1593470682
53,Medford,42.33,-122.88,79.0,31,20,8.05,US,1593470592
54,Cam Ranh,11.92,109.16,80.6,74,75,1.12,VN,1593470506
55,Mataura,-46.19,168.86,42.75,93,100,6.22,NZ,1593470682
56,Dillon,34.42,-79.37,91.99,55,1,3.36,US,1593470682
57,Paamiut,61.99,-49.67,39.24,92,17,12.68,GL,1593470682
58,Maceió,-9.67,-35.74,75.2,83,40,5.82,BR,1593470660
59,Gilgit,35.92,74.31,73.22,30,16,1.52,PK,1593470649
60,NEDJO,9.5,35.5,58.03,96,100,3.8,ET,1593470683
61,Carnarvon,-24.87,113.63,57.2,100,18,6.93,AU,1593470683
62,Kudahuvadhoo,2.67,72.89,83.71,74,39,7.16,MV,1593470683
63,Kahului,20.89,-156.47,89.6,49,40,18.34,US,1593470492
64,Severo-Kuril'sk,50.68,156.12,49.39,92,100,10.71,RU,1593470684
65,Vaini,-21.2,-175.2,77.0,88,40,6.93,TO,1593470684
66,Cockburn Town,21.46,-71.14,82.69,75,0,13.85,TC,1593470684
67,Aldan,58.6,125.39,70.16,50,18,2.59,RU,1593470684
68,Airai,-8.93,125.41,58.91,100,92,3.33,TL,1593470684
69,Portmore,17.97,-76.87,86.0,79,75,18.34,JM,1593470577
70,Keti Bandar,24.14,67.45,86.58,75,70,13.96,PK,1593470684
71,East London,-33.02,27.91,63.05,70,66,19.75,ZA,1593470684
72,Hammerfest,70.66,23.68,41.0,80,96,28.86,NO,1593470684
73,Souillac,-20.52,57.52,68.0,94,75,8.23,MU,1593470685
74,Yellowknife,62.46,-114.35,75.0,32,20,11.41,CA,1593470421
75,Tonantins,-2.87,-67.8,76.23,89,79,1.19,BR,1593470685
76,Carutapera,-1.2,-46.02,76.66,90,11,6.51,BR,1593470685
77,Hermanus,-34.42,19.23,50.0,95,21,1.01,ZA,1593470685
78,Dingle,11.0,122.67,78.87,83,98,1.99,PH,1593470685
79,San Andrés,12.58,-81.7,86.0,74,90,14.99,CO,1593470685
80,Vostok,46.49,135.88,63.5,84,38,1.72,RU,1593470685
81,Magadan,59.57,150.8,50.92,92,99,7.18,RU,1593470685
82,Yiyang,28.59,112.33,74.61,96,100,1.12,CN,1593470686
83,Mabaruma,8.2,-59.78,75.81,90,56,3.94,GY,1593470686
84,Chokurdakh,70.63,147.92,50.36,48,100,5.3,RU,1593470686
85,Nantucket,41.28,-70.1,66.2,88,90,6.93,US,1593470686
86,Cabo San Lucas,22.89,-109.91,82.4,61,90,9.17,MX,1593470659
87,Saint-Augustin,51.23,-58.65,60.51,75,1,7.14,CA,1593470583
88,Hobyo,5.35,48.53,78.55,78,25,24.16,SO,1593470686
89,Paredon,16.03,-93.87,86.0,69,54,4.14,MX,1593470686
90,Wanning,18.8,110.4,81.05,86,100,5.21,CN,1593470686
91,Qaanaaq,77.48,-69.36,43.36,62,1,2.3,GL,1593470687
92,Yuxia,34.06,108.63,77.0,88,0,4.47,CN,1593470687
93,Jamestown,42.1,-79.24,78.8,50,1,6.93,US,1593470403
94,Ranong,9.97,98.63,80.01,80,100,3.4,TH,1593470405
95,Saint-Philippe,-21.36,55.77,68.0,68,40,8.05,RE,1593470687
96,Antalaha,-14.9,50.28,67.66,85,4,5.91,MG,1593470687
97,Kharp,66.8,65.81,44.89,87,99,7.29,RU,1593470687
98,Rio Grande,-32.03,-52.1,55.99,93,100,3.0,BR,1593470497
99,Hov,60.7,10.35,46.99,93,88,1.01,NO,1593470687
100,Amapá,1.0,-52.0,73.9,98,76,3.29,BR,1593470688
101,Bredasdorp,-34.53,20.04,46.4,93,25,4.7,ZA,1593470688
102,Yulara,-25.24,130.99,37.4,44,0,5.82,AU,1593470688
103,Pindiga,9.98,10.93,70.03,97,99,5.64,NG,1593470688
104,Cairns,-16.92,145.77,71.01,88,75,6.93,AU,1593470626
105,Barrow,71.29,-156.79,42.8,75,1,14.99,US,1593470688
106,Vokhtoga,58.81,41.05,47.66,87,87,0.76,RU,1593470688
107,Hambantota,6.12,81.12,78.8,100,88,6.93,LK,1593470688
108,Ulladulla,-35.35,150.47,46.99,100,20,6.93,AU,1593470688
109,Muramatsu,37.68,139.18,70.0,88,75,4.7,JP,1593470688
110,Hofn,64.25,-15.21,50.2,70,80,17.34,IS,1593470689
111,Los Llanos de Aridane,28.66,-17.92,73.4,73,75,17.22,ES,1593470689
112,Codrington,-38.27,141.97,44.91,83,43,13.2,AU,1593470689
113,Lüderitz,-26.65,15.16,57.2,58,0,3.36,NA,1593470689
114,Castro,-24.79,-50.01,53.38,96,29,6.71,BR,1593470689
115,Edd,13.93,41.69,90.55,52,85,5.21,ER,1593470689
116,Karratha,-20.74,116.85,68.27,51,45,10.16,AU,1593470689
117,Dikson,73.51,80.55,49.68,75,3,18.99,RU,1593470690
118,Puerto Escondido,15.85,-97.07,86.0,74,75,2.93,MX,1593470690
119,Esim,4.87,-2.24,75.92,87,68,10.07,GH,1593470690
120,Codajás,-3.84,-62.06,75.7,92,59,0.74,BR,1593470690
121,Noumea,-22.28,166.46,68.0,82,75,6.93,NC,1593470690
122,Port Lincoln,-34.73,135.87,54.72,74,19,13.76,AU,1593470690
123,Ancud,-41.87,-73.82,48.99,93,99,4.7,CL,1593470690
124,Banda Aceh,5.56,95.32,78.87,77,100,7.94,ID,1593470690
125,Saldanha,-33.01,17.94,51.8,87,9,3.36,ZA,1593470690
126,Quatre Cocos,-20.21,57.76,69.01,94,75,9.44,MU,1593470690
127,Talnakh,69.49,88.4,59.0,67,94,13.42,RU,1593470691
128,Hailar,49.2,119.7,65.62,69,99,10.67,CN,1593470691
129,Tuktoyaktuk,69.45,-133.04,57.2,62,20,10.29,CA,1593470691
130,Fortuna,40.6,-124.16,66.2,59,40,11.41,US,1593470691
131,Kaitangata,-46.28,169.85,46.0,73,100,8.99,NZ,1593470691
132,Pangnirtung,66.15,-65.71,41.0,86,40,13.87,CA,1593470620
133,Sorong,-0.88,131.25,77.97,85,100,7.02,ID,1593470691
